id;code;marque;modele;caracteristiques;prix_unitaire;quantite
1;conglomeration Marketing solutions;Health Future Grocery;Stand-alone Cambridgeshire Accountability;Infrastructure logistical Avon;4659;94621
2;online SAS;Myanmar;Unions GB Soap;Balanced;39721;27610
3;Shores Money Market Account;Soap deposit;override web-readiness 1080p;Handmade Steel Table Sleek Fresh Cheese;98969;86777
4;Computer Land;emulation;Borders non-volatile Buckinghamshire;hack SMTP;36719;30088
5;Beauty;Ball Chair Handmade;Practical;Valley;16196;94807
6;Maine;metrics Savings Account;Shirt Bedfordshire;synergies;82032;84030
7;Netherlands Antillian Guilder FTP;Avon;Keyboard platforms Liaison;Incredible Steel Bike;59094;12685
8;instruction set;compress;Polarised;synergistic;75194;56143
9;Handcrafted;Borders Bedfordshire invoice;National Computers;Cheese;62678;84742
10;niches Walk;Cambridgeshire Auto Loan Account;enterprise feed;calculate;98134;52238
